,0
0,23
1,47
2,49
3,30
4,1
5,39
6,34
7,55
8,62
9,23
10,2
11,75
12,15
13,3
14,33
15,54
16,3
17,1
18,12
19,30
20,55
21,44
22,45
23,18
24,24
25,11
26,50
27,2
28,0
29,48
30,41
31,2
32,6
33,35
34,7
35,41
36,107
37,7
38,34
39,58
40,67
41,1
42,19
43,27
44,59
45,1
46,3
47,52
48,1
49,6
50,0
51,59
52,70
53,2
54,2
55,34
56,53
57,7
58,62
59,7
60,2
61,7
62,1
63,9
64,42
65,55
66,60
67,44
68,84
69,68
70,55
71,63
72,77
73,12
74,83
75,31
76,27
77,4
78,85
79,3
80,65
81,1
82,38
83,62
84,3
85,21
86,28
87,45
88,93
89,63
90,14
91,36
92,18
93,2
94,1
95,36
96,28
97,7
98,7
99,2
100,33
101,3
102,2
103,55
104,19
105,0
106,11
107,26
108,70
109,29
110,35
111,39
112,11
113,44
114,56
115,53
116,46
117,64
118,56
119,50
120,8
121,3
122,2
123,44
124,35
125,24
126,48
127,5
128,101
129,40
130,58
131,1
132,45
133,65
134,38
135,2
136,1
137,72
138,66
139,62
140,3
141,59
142,1
143,9
144,26
145,21
146,53
147,15
148,48
149,53
150,30
151,17
152,26
153,56
154,1
