,0
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
