,0
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,2
8,1
9,2
10,0
11,0
12,1
13,0
14,2
15,2
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,3
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,2
36,2
37,0
38,0
39,1
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,3
53,0
54,0
55,1
56,3
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,2
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,3
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,0
88,2
89,1
90,0
91,1
92,0
93,0
94,0
95,2
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,2
119,2
120,0
121,0
122,0
123,2
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,2
134,2
135,0
136,0
137,1
138,2
139,2
140,0
141,2
142,0
143,0
144,0
145,0
146,1
147,0
148,3
149,1
150,0
151,0
152,0
153,3
154,0
